;rec;lig;#dock;pdb_expr_rec;pdb_expr_lig;pdb_dock_rec;pdb_dock_lig;deviation
64;1ya5_A;1ya5_A;1;1ya5_0_1_A_1.pdb;1ya5_0_1_B_1.pdb;1ya5_A.pdb;1ya5_A_1.pdb;29.95333243496445
65;1rkc_A;1rkc_A;1;2hsq_0_3_A_4.pdb;2hsq_0_3_A_3.pdb;1rkc_A.pdb;1rkc_A_1.pdb;40.43605950790781
66;1rkc_A;1rkc_B;9;1rkc_0_1_A_1.pdb;1rkc_0_1_B_1.pdb;1rkc_A.pdb;1rkc_B_9.pdb;0.6181549899089178
67;3bc1_B;3bc1_E;8;3bc1_0_1_B_1.pdb;3bc1_0_1_A_1.pdb;3bc1_B.pdb;3bc1_E_8.pdb;34.82448205565924
68;1rkc_A;1ydi_A;1;2hsq_0_3_A_4.pdb;2hsq_0_3_A_3.pdb;1rkc_A.pdb;1ydi_A_1.pdb;55.02172117308128
69;2djg_A;2djg_A;1;2djg_0_1_A_4.pdb;2djg_0_1_A_3.pdb;2djg_A.pdb;2djg_A_1.pdb;25.845202953217104
70;3byh_A;3byh_A;3;4jhd_0_1_A_1.pdb;4jhd_0_1_B_1.pdb;3byh_A.pdb;3byh_A_3.pdb;25.157899092454674
71;1rkc_B;1ydi_A;10;1rkc_0_1_B_1.pdb;1rkc_0_1_A_1.pdb;1rkc_B.pdb;1ydi_A_10.pdb;7.222878065476145
72;3bc1_E;3bc1_E;7;2if0_0_3_A_1.pdb;2if0_0_3_B_1.pdb;3bc1_E.pdb;3bc1_E_7.pdb;23.769578086621316
73;1i7x_A;1i7x_A;5;1i7x_0_1_A_1.pdb;1i7x_0_1_C_1.pdb;1i7x_A.pdb;1i7x_A_5.pdb;56.533410764462666
74;1ya5_A;1ya5_A;2;1ya5_0_1_A_1.pdb;1ya5_0_1_B_1.pdb;1ya5_A.pdb;1ya5_A_2.pdb;29.95331055961949
75;1i7x_C;1i7x_C;4;1i7x_0_1_C_1.pdb;1i7x_0_1_A_1.pdb;1i7x_C.pdb;1i7x_C_4.pdb;58.92010338489258
76;2djg_A;2djg_B;1;2djg_0_1_A_4.pdb;2djg_0_1_B_4.pdb;2djg_A.pdb;2djg_B_1.pdb;0.5540381608123839
77;2djg_A;2zl1_B;0;-;-;-;-;-1.0
78;1rkc_A;1rkc_B;10;1rkc_0_1_A_1.pdb;1rkc_0_1_B_1.pdb;1rkc_A.pdb;1rkc_B_10.pdb;0.6181549899089178
79;2djg_A;2djg_A;2;2djg_0_1_A_4.pdb;2djg_0_1_A_3.pdb;2djg_A.pdb;2djg_A_2.pdb;26.26898235470408
80;2c0l_A;2c0l_A;1;2j9q_0_1_A_1.pdb;2j9q_0_1_B_1.pdb;2c0l_A.pdb;2c0l_A_1.pdb;28.006768374235435
81;3bc1_B;3bc1_E;9;3bc1_0_1_B_1.pdb;3bc1_0_1_A_1.pdb;3bc1_B.pdb;3bc1_E_9.pdb;34.82445337772392
82;1rkc_B;1ydi_A;11;1rkc_0_1_B_1.pdb;1rkc_0_1_A_1.pdb;1rkc_B.pdb;1ydi_A_11.pdb;7.222878065476145
83;1rkc_A;1rkc_A;2;2hsq_0_3_A_4.pdb;2hsq_0_3_A_3.pdb;1rkc_A.pdb;1rkc_A_2.pdb;40.43603609511644
84;1rkc_A;1ydi_A;2;2hsq_0_3_A_4.pdb;2hsq_0_3_A_3.pdb;1rkc_A.pdb;1ydi_A_2.pdb;55.021716174131186
85;3byh_A;3byh_A;4;4jhd_0_1_A_1.pdb;4jhd_0_1_B_1.pdb;3byh_A.pdb;3byh_A_4.pdb;25.157880901299645
86;2djg_A;3c5j_A;0;-;-;-;-;-1.0
87;1ya5_A;1ya5_A;3;1ya5_0_1_A_1.pdb;1ya5_0_1_B_1.pdb;1ya5_A.pdb;1ya5_A_3.pdb;29.953327905851175
88;3bc1_E;3bc1_E;8;2if0_0_3_A_1.pdb;2if0_0_3_B_1.pdb;3bc1_E.pdb;3bc1_E_8.pdb;25.153184220549186
89;2djg_A;2djg_B;2;2djg_0_1_A_4.pdb;2djg_0_1_B_4.pdb;2djg_A.pdb;2djg_B_2.pdb;0.5540162682219275
90;1rkc_B;1ydi_A;12;1rkc_0_1_B_1.pdb;1rkc_0_1_A_1.pdb;1rkc_B.pdb;1ydi_A_12.pdb;7.222878065476145
91;1rkc_A;1rkc_B;11;1rkc_0_1_A_1.pdb;1rkc_0_1_B_1.pdb;1rkc_A.pdb;1rkc_B_11.pdb;0.6181549899089178
92;2djg_A;2djg_A;3;2djg_0_1_A_4.pdb;2djg_0_1_A_3.pdb;2djg_A.pdb;2djg_A_3.pdb;26.268959083385113
93;2c0l_A;2c0l_A;2;2j9q_0_1_A_1.pdb;2j9q_0_1_B_1.pdb;2c0l_A.pdb;2c0l_A_2.pdb;21.79527058639545
94;3bc1_B;3bc1_E;10;3bc1_0_1_B_1.pdb;3bc1_0_1_A_1.pdb;3bc1_B.pdb;3bc1_E_10.pdb;29.16444092445664
95;1rkc_A;1rkc_A;3;2hsq_0_3_A_4.pdb;2hsq_0_3_A_3.pdb;1rkc_A.pdb;1rkc_A_3.pdb;40.43609980570067
96;1rkc_A;1ydi_A;3;2hsq_0_3_A_4.pdb;2hsq_0_3_A_3.pdb;1rkc_A.pdb;1ydi_A_3.pdb;55.021707849865756
97;1ya5_A;1ya5_A;4;1ya5_0_1_A_1.pdb;1ya5_0_1_B_1.pdb;1ya5_A.pdb;1ya5_A_4.pdb;29.953310181858576
98;1i7x_C;1i7x_C;5;1i7x_0_1_C_1.pdb;1i7x_0_1_A_1.pdb;1i7x_C.pdb;1i7x_C_5.pdb;58.920097483440514
99;2djg_A;2djg_C;1;2djg_0_1_A_4.pdb;2djg_0_1_C_4.pdb;2djg_A.pdb;2djg_C_1.pdb;30.222185204282926
100;2djg_A;2djg_B;3;2djg_0_1_A_4.pdb;2djg_0_1_B_4.pdb;2djg_A.pdb;2djg_B_3.pdb;0.5539943222551241
101;3bc1_E;3bc1_E;9;2if0_0_3_A_1.pdb;2if0_0_3_B_1.pdb;3bc1_E.pdb;3bc1_E_9.pdb;21.89205062232944
102;1rkc_B;1ydi_A;13;1rkc_0_1_B_1.pdb;1rkc_0_1_A_1.pdb;1rkc_B.pdb;1ydi_A_13.pdb;11.269149965700983
103;1rkc_A;1rkc_B;12;1rkc_0_1_A_1.pdb;1rkc_0_1_B_1.pdb;1rkc_A.pdb;1rkc_B_12.pdb;0.6181549899089178
104;3byh_A;3byh_A;5;4jhd_0_1_A_1.pdb;4jhd_0_1_B_1.pdb;3byh_A.pdb;3byh_A_5.pdb;25.15786882783314
105;2djg_A;2djg_A;4;2djg_0_1_A_4.pdb;2djg_0_1_A_3.pdb;2djg_A.pdb;2djg_A_4.pdb;28.62623774294815
106;3bc1_B;3bc1_E;11;3bc1_0_1_B_1.pdb;3bc1_0_1_A_1.pdb;3bc1_B.pdb;3bc1_E_11.pdb;37.78004915540768
107;2djg_A;2djg_C;2;2djg_0_1_A_4.pdb;2djg_0_1_C_4.pdb;2djg_A.pdb;2djg_C_2.pdb;16.836004225964764
108;2djg_B;2djg_B;1;2djg_0_1_B_3.pdb;2djg_0_1_B_2.pdb;2djg_B.pdb;2djg_B_1.pdb;37.24375078069188
109;1rkc_A;1rkc_A;4;2hsq_0_3_A_4.pdb;2hsq_0_3_A_3.pdb;1rkc_A.pdb;1rkc_A_4.pdb;40.436027381928426
110;2djg_A;2djg_B;4;2djg_0_1_A_4.pdb;2djg_0_1_B_4.pdb;2djg_A.pdb;2djg_B_4.pdb;0.554034646110615
111;2c0l_A;2c0l_A;3;2j9q_0_1_A_1.pdb;2j9q_0_1_B_1.pdb;2c0l_A.pdb;2c0l_A_3.pdb;23.80337863367821
112;1rkc_B;1ydi_A;14;1rkc_0_1_B_1.pdb;1rkc_0_1_A_1.pdb;1rkc_B.pdb;1ydi_A_14.pdb;7.222865734510958
113;1rkc_A;1ydi_A;4;2hsq_0_3_A_4.pdb;2hsq_0_3_A_3.pdb;1rkc_A.pdb;1ydi_A_4.pdb;55.02171272161568
114;3bc1_E;3bc1_E;10;2if0_0_3_A_1.pdb;2if0_0_3_B_1.pdb;3bc1_E.pdb;3bc1_E_10.pdb;22.7133907052227
115;1rkc_A;1rkc_B;13;1rkc_0_1_A_1.pdb;1rkc_0_1_B_1.pdb;1rkc_A.pdb;1rkc_B_13.pdb;0.6181646705038661
116;3bc1_B;3bc1_E;12;3bc1_0_1_B_1.pdb;3bc1_0_1_A_1.pdb;3bc1_B.pdb;3bc1_E_12.pdb;34.82446883947465
117;2djg_A;2djg_A;5;2djg_0_1_A_4.pdb;2djg_0_1_A_3.pdb;2djg_A.pdb;2djg_A_5.pdb;30.895786100920937
118;2djg_A;2djg_C;3;2djg_0_1_A_4.pdb;2djg_0_1_C_4.pdb;2djg_A.pdb;2djg_C_3.pdb;22.294349174888872
119;2djg_B;2djg_B;2;2djg_0_1_B_3.pdb;2djg_0_1_B_2.pdb;2djg_B.pdb;2djg_B_2.pdb;40.54672086066633
120;1rkc_B;1ydi_A;15;1rkc_0_1_B_1.pdb;1rkc_0_1_A_1.pdb;1rkc_B.pdb;1ydi_A_15.pdb;11.26914078213193
121;2djg_A;2djg_B;5;2djg_0_1_A_4.pdb;2djg_0_1_B_4.pdb;2djg_A.pdb;2djg_B_5.pdb;0.554034646110615
122;3byh_A;3byh_A;6;4jhd_0_1_A_1.pdb;4jhd_0_1_B_1.pdb;3byh_A.pdb;3byh_A_6.pdb;25.157894073907404
123;1i7x_C;1i7x_C;6;1i7x_0_1_C_1.pdb;1i7x_0_1_A_1.pdb;1i7x_C.pdb;1i7x_C_6.pdb;58.92010518437183
124;1rkc_A;1rkc_B;14;1rkc_0_1_A_1.pdb;1rkc_0_1_B_1.pdb;1rkc_A.pdb;1rkc_B_14.pdb;0.6181549899089178
125;1rkc_A;1rkc_A;5;2hsq_0_3_A_4.pdb;2hsq_0_3_A_3.pdb;1rkc_A.pdb;1rkc_A_5.pdb;40.43606370935444
126;3bc1_B;3bc1_E;13;3bc1_0_1_B_1.pdb;3bc1_0_1_A_1.pdb;3bc1_B.pdb;3bc1_E_13.pdb;29.16443635255296
127;1rkc_A;1ydi_A;5;2hsq_0_3_A_4.pdb;2hsq_0_3_A_3.pdb;1rkc_A.pdb;1ydi_A_5.pdb;57.03483057520568
128;3bc1_E;3bc1_E;11;2if0_0_3_A_1.pdb;2if0_0_3_B_1.pdb;3bc1_E.pdb;3bc1_E_11.pdb;23.76956650947844
129;2djg_A;2djg_A;6;2djg_0_1_A_4.pdb;2djg_0_1_A_3.pdb;2djg_A.pdb;2djg_A_6.pdb;30.89578623911897
130;2djg_A;2djg_C;4;2djg_0_1_A_4.pdb;2djg_0_1_C_4.pdb;2djg_A.pdb;2djg_C_4.pdb;22.294357515713735
131;2c0l_A;2c0l_A;4;2j9q_0_1_A_1.pdb;2j9q_0_1_B_1.pdb;2c0l_A.pdb;2c0l_A_4.pdb;23.80338320417949
132;1rkc_B;1ydi_A;16;1rkc_0_1_B_1.pdb;1rkc_0_1_A_1.pdb;1rkc_B.pdb;1ydi_A_16.pdb;7.222878065476145
133;2djg_A;2djg_B;6;2djg_0_1_A_4.pdb;2djg_0_1_B_4.pdb;2djg_A.pdb;2djg_B_6.pdb;0.554034646110615
134;1rkc_A;1rkc_B;15;1rkc_0_1_A_1.pdb;1rkc_0_1_B_1.pdb;1rkc_A.pdb;1rkc_B_15.pdb;0.6181549899089178
135;3bc1_B;3bc1_E;14;3bc1_0_1_B_1.pdb;3bc1_0_1_A_1.pdb;3bc1_B.pdb;3bc1_E_14.pdb;34.82447035209528
136;2djg_B;2djg_B;3;2djg_0_1_B_3.pdb;2djg_0_1_B_2.pdb;2djg_B.pdb;2djg_B_3.pdb;44.082882557773885
137;2djg_B;2djg_C;1;2djg_0_1_B_4.pdb;2djg_0_1_C_4.pdb;2djg_B.pdb;2djg_C_1.pdb;16.696477387938423
138;1rkc_A;1rkc_A;6;2hsq_0_3_A_4.pdb;2hsq_0_3_A_3.pdb;1rkc_A.pdb;1rkc_A_6.pdb;40.436064965132154
139;2djg_A;2djg_C;5;2djg_0_1_A_4.pdb;2djg_0_1_C_4.pdb;2djg_A.pdb;2djg_C_5.pdb;21.37828990773399
140;2djg_A;2djg_A;7;2djg_0_1_A_4.pdb;2djg_0_1_A_3.pdb;2djg_A.pdb;2djg_A_7.pdb;26.268963912060897
141;3byh_A;3byh_A;7;4jhd_0_1_A_1.pdb;4jhd_0_1_B_1.pdb;3byh_A.pdb;3byh_A_7.pdb;25.157884916976975
142;3bc1_E;3bc1_E;12;2if0_0_3_A_1.pdb;2if0_0_3_B_1.pdb;3bc1_E.pdb;3bc1_E_12.pdb;22.71338802633893
143;1rkc_A;1ydi_A;6;2hsq_0_3_A_4.pdb;2hsq_0_3_A_3.pdb;1rkc_A.pdb;1ydi_A_6.pdb;57.03480869678351
144;1rkc_B;1ydi_A;17;1rkc_0_1_B_1.pdb;1rkc_0_1_A_1.pdb;1rkc_B.pdb;1ydi_A_17.pdb;7.2228831263588695
145;2djg_A;2djg_B;7;2djg_0_1_A_4.pdb;2djg_0_1_B_4.pdb;2djg_A.pdb;2djg_B_7.pdb;0.5540317188163064
146;3bc1_B;3bc1_E;15;3bc1_0_1_B_1.pdb;3bc1_0_1_A_1.pdb;3bc1_B.pdb;3bc1_E_15.pdb;37.780073985242474
147;1rkc_A;1rkc_B;16;1rkc_0_1_A_1.pdb;1rkc_0_1_B_1.pdb;1rkc_A.pdb;1rkc_B_16.pdb;0.6181619164341783
148;1i7x_C;1i7x_C;7;1i7x_0_1_C_1.pdb;1i7x_0_1_A_1.pdb;1i7x_C.pdb;1i7x_C_7.pdb;58.92010566055538
149;2djg_B;2djg_B;4;2djg_0_1_B_3.pdb;2djg_0_1_B_2.pdb;2djg_B.pdb;2djg_B_4.pdb;37.963293888892345
150;2djg_A;2djg_C;6;2djg_0_1_A_4.pdb;2djg_0_1_C_4.pdb;2djg_A.pdb;2djg_C_6.pdb;22.294353745725857
151;2djg_A;2djg_A;8;2djg_0_1_A_4.pdb;2djg_0_1_A_3.pdb;2djg_A.pdb;2djg_A_8.pdb;30.895781741897746
152;2djg_B;2djg_C;2;2djg_0_1_B_4.pdb;2djg_0_1_C_4.pdb;2djg_B.pdb;2djg_C_2.pdb;18.158586058323888
153;2c0l_A;2c0l_A;5;2j9q_0_1_A_1.pdb;2j9q_0_1_B_1.pdb;2c0l_A.pdb;2c0l_A_5.pdb;33.03258153164623
154;1rkc_B;1ydi_A;18;1rkc_0_1_B_1.pdb;1rkc_0_1_A_1.pdb;1rkc_B.pdb;1ydi_A_18.pdb;7.222882087992278
155;3bc1_E;3bc1_E;13;2if0_0_3_A_1.pdb;2if0_0_3_B_1.pdb;3bc1_E.pdb;3bc1_E_13.pdb;21.89204546581236
156;2djg_A;2djg_B;8;2djg_0_1_A_4.pdb;2djg_0_1_B_4.pdb;2djg_A.pdb;2djg_B_8.pdb;0.5540266189863623
157;3bc1_B;3bc1_E;16;3bc1_0_1_B_1.pdb;3bc1_0_1_A_1.pdb;3bc1_B.pdb;3bc1_E_16.pdb;37.780073985242474
158;1rkc_A;1rkc_B;17;1rkc_0_1_A_1.pdb;1rkc_0_1_B_1.pdb;1rkc_A.pdb;1rkc_B_17.pdb;0.6181590883022774
159;2djg_A;2djg_C;7;2djg_0_1_A_4.pdb;2djg_0_1_C_4.pdb;2djg_A.pdb;2djg_C_7.pdb;21.37834287837284
160;2djg_B;2djg_C;3;2djg_0_1_B_4.pdb;2djg_0_1_C_4.pdb;2djg_B.pdb;2djg_C_3.pdb;16.696476873618174
161;1rkc_A;1rkc_A;7;2hsq_0_3_A_4.pdb;2hsq_0_3_A_3.pdb;1rkc_A.pdb;1rkc_A_7.pdb;40.436064965132154
162;2djg_A;2djg_A;9;2djg_0_1_A_4.pdb;2djg_0_1_A_3.pdb;2djg_A.pdb;2djg_A_9.pdb;25.462034394368406
163;3byh_A;3byh_A;8;4jhd_0_1_A_1.pdb;4jhd_0_1_B_1.pdb;3byh_A.pdb;3byh_A_8.pdb;25.15788612218541
164;2djg_B;2djg_B;5;2djg_0_1_B_3.pdb;2djg_0_1_B_2.pdb;2djg_B.pdb;2djg_B_5.pdb;35.892729396249926
165;1rkc_A;1ydi_A;7;2hsq_0_3_A_4.pdb;2hsq_0_3_A_3.pdb;1rkc_A.pdb;1ydi_A_7.pdb;57.03481675844032
166;1rkc_B;1ydi_A;19;1rkc_0_1_B_1.pdb;1rkc_0_1_A_1.pdb;1rkc_B.pdb;1ydi_A_19.pdb;7.2228831263588695
167;3bc1_E;3bc1_E;14;2if0_0_3_A_1.pdb;2if0_0_3_B_1.pdb;3bc1_E.pdb;3bc1_E_14.pdb;21.892049067163985
168;3bc1_B;3bc1_E;17;3bc1_0_1_B_1.pdb;3bc1_0_1_A_1.pdb;3bc1_B.pdb;3bc1_E_17.pdb;37.78005526449829
169;2djg_A;2djg_B;9;2djg_0_1_A_4.pdb;2djg_0_1_B_4.pdb;2djg_A.pdb;2djg_B_9.pdb;0.5540595832743868
170;2djg_A;2djg_C;8;2djg_0_1_A_4.pdb;2djg_0_1_C_4.pdb;2djg_A.pdb;2djg_C_8.pdb;22.294353745725857
171;1rkc_A;1rkc_B;18;1rkc_0_1_A_1.pdb;1rkc_0_1_B_1.pdb;1rkc_A.pdb;1rkc_B_18.pdb;0.6181590883022774
172;2c0l_A;2c0l_A;6;2j9q_0_1_A_1.pdb;2j9q_0_1_B_1.pdb;2c0l_A.pdb;2c0l_A_6.pdb;33.03258153164623
173;2djg_B;2djg_C;4;2djg_0_1_B_4.pdb;2djg_0_1_C_4.pdb;2djg_B.pdb;2djg_C_4.pdb;17.002711909302658
174;2djg_A;2djg_A;10;2djg_0_1_A_4.pdb;2djg_0_1_A_3.pdb;2djg_A.pdb;2djg_A_10.pdb;25.845202953217104
175;1i7x_C;1i7x_C;8;1i7x_0_1_C_1.pdb;1i7x_0_1_A_1.pdb;1i7x_C.pdb;1i7x_C_8.pdb;58.92010606250422
176;2djg_B;2djg_B;6;2djg_0_1_B_3.pdb;2djg_0_1_B_2.pdb;2djg_B.pdb;2djg_B_6.pdb;35.891286028888054
177;1rkc_B;1ydi_A;20;1rkc_0_1_B_1.pdb;1rkc_0_1_A_1.pdb;1rkc_B.pdb;1ydi_A_20.pdb;7.222878065476145
178;1rkc_A;1rkc_A;8;2hsq_0_3_A_4.pdb;2hsq_0_3_A_3.pdb;1rkc_A.pdb;1rkc_A_8.pdb;40.43605293955226
179;3bc1_B;3bc1_E;18;3bc1_0_1_B_1.pdb;3bc1_0_1_A_1.pdb;3bc1_B.pdb;3bc1_E_18.pdb;34.82447631333163
180;2djg_A;2djg_C;9;2djg_0_1_A_4.pdb;2djg_0_1_C_4.pdb;2djg_A.pdb;2djg_C_9.pdb;22.29435465402756
181;2djg_A;2djg_B;10;2djg_0_1_A_4.pdb;2djg_0_1_B_4.pdb;2djg_A.pdb;2djg_B_10.pdb;0.554034646110615
182;1rkc_A;1rkc_B;19;1rkc_0_1_A_1.pdb;1rkc_0_1_B_1.pdb;1rkc_A.pdb;1rkc_B_19.pdb;0.6181590883022774
