;rec;lig;#dock;pdb_expr_rec;pdb_expr_lig;pdb_dock_rec;pdb_dock_lig;deviation
66;3bc1_B;3bc1_E;2;3bc1_0_1_B_1.pdb;3bc1_0_1_A_1.pdb;3bc1_B.pdb;3bc1_E_2.pdb;5.598389278816092
67;2djg_A;2djg_B;3;2djg_0_1_A_4.pdb;2djg_0_1_B_4.pdb;2djg_A.pdb;2djg_B_3.pdb;0.23504704429099002
68;1rkc_B;1ydi_A;3;1rkc_0_1_B_1.pdb;1rkc_0_1_A_1.pdb;1rkc_B.pdb;1ydi_A_3.pdb;2.228849276900296
69;1rkc_A;1rkc_B;8;1rkc_0_1_A_1.pdb;1rkc_0_1_B_1.pdb;1rkc_A.pdb;1rkc_B_8.pdb;0.9566105131452356
70;2djg_B;2djg_B;1;2djg_0_1_B_3.pdb;2djg_0_1_B_2.pdb;2djg_B.pdb;2djg_B_1.pdb;26.668993901568772
71;2c0l_A;2c0l_A;4;2j9q_0_1_A_1.pdb;2j9q_0_1_B_1.pdb;2c0l_A.pdb;2c0l_A_4.pdb;15.482345050041282
72;2djg_A;2djg_A;6;2djg_0_1_A_4.pdb;2djg_0_1_A_3.pdb;2djg_A.pdb;2djg_A_6.pdb;5.508946773182608
73;3bc1_E;3bc1_E;6;2if0_0_3_A_1.pdb;2if0_0_3_B_1.pdb;3bc1_E.pdb;3bc1_E_6.pdb;25.360691823752774
74;3bc1_B;3bc1_E;3;3bc1_0_1_B_1.pdb;3bc1_0_1_A_1.pdb;3bc1_B.pdb;3bc1_E_3.pdb;5.598389278816092
75;2djg_A;2djg_B;4;2djg_0_1_A_4.pdb;2djg_0_1_B_4.pdb;2djg_A.pdb;2djg_B_4.pdb;0.2350747785823947
76;1rkc_B;1ydi_A;4;1rkc_0_1_B_1.pdb;1rkc_0_1_A_1.pdb;1rkc_B.pdb;1ydi_A_4.pdb;2.266143790714103
77;1i7x_C;1i7x_C;5;1i7x_0_1_C_1.pdb;1i7x_0_1_A_1.pdb;1i7x_C.pdb;1i7x_C_5.pdb;23.789792194430483
78;1rkc_A;1rkc_B;9;1rkc_0_1_A_1.pdb;1rkc_0_1_B_1.pdb;1rkc_A.pdb;1rkc_B_9.pdb;0.9566233953273101
79;3byh_A;3byh_A;2;4jhd_0_1_A_1.pdb;4jhd_0_1_B_1.pdb;3byh_A.pdb;3byh_A_2.pdb;14.045433152103815
80;2djg_B;2djg_B;2;2djg_0_1_B_3.pdb;2djg_0_1_B_2.pdb;2djg_B.pdb;2djg_B_2.pdb;17.268376815906773
81;2djg_A;2djg_A;7;2djg_0_1_A_4.pdb;2djg_0_1_A_3.pdb;2djg_A.pdb;2djg_A_7.pdb;5.509019980575386
82;3bc1_E;3bc1_E;7;2if0_0_3_A_1.pdb;2if0_0_3_B_1.pdb;3bc1_E.pdb;3bc1_E_7.pdb;23.780202229131387
83;2c0l_A;2c0l_A;5;2j9q_0_1_A_1.pdb;2j9q_0_1_B_1.pdb;2c0l_A.pdb;2c0l_A_5.pdb;22.644513964944842
84;3bc1_B;3bc1_E;4;3bc1_0_1_B_1.pdb;3bc1_0_1_A_1.pdb;3bc1_B.pdb;3bc1_E_4.pdb;15.437934431954641
85;2djg_A;2djg_B;5;2djg_0_1_A_4.pdb;2djg_0_1_B_4.pdb;2djg_A.pdb;2djg_B_5.pdb;0.2350747785823947
86;1rkc_B;1ydi_A;5;1rkc_0_1_B_1.pdb;1rkc_0_1_A_1.pdb;1rkc_B.pdb;1ydi_A_5.pdb;2.2661450027947825
87;1rkc_A;1rkc_B;10;1rkc_0_1_A_1.pdb;1rkc_0_1_B_1.pdb;1rkc_A.pdb;1rkc_B_10.pdb;0.9566188276016423
88;2djg_A;2djg_A;8;2djg_0_1_A_4.pdb;2djg_0_1_A_3.pdb;2djg_A.pdb;2djg_A_8.pdb;5.508914992283754
89;2djg_B;2djg_B;3;2djg_0_1_B_3.pdb;2djg_0_1_B_2.pdb;2djg_B.pdb;2djg_B_3.pdb;25.992763810281396
90;3byh_A;3byh_A;3;4jhd_0_1_A_1.pdb;4jhd_0_1_B_1.pdb;3byh_A.pdb;3byh_A_3.pdb;14.045468191876122
91;1i7x_C;1i7x_C;6;1i7x_0_1_C_1.pdb;1i7x_0_1_A_1.pdb;1i7x_C.pdb;1i7x_C_6.pdb;23.789787873390328
92;3bc1_B;3bc1_E;5;3bc1_0_1_B_1.pdb;3bc1_0_1_A_1.pdb;3bc1_B.pdb;3bc1_E_5.pdb;10.393452144699635
93;3bc1_E;3bc1_E;8;2if0_0_3_A_1.pdb;2if0_0_3_B_1.pdb;3bc1_E.pdb;3bc1_E_8.pdb;24.78968778040745
94;2djg_A;2djg_B;6;2djg_0_1_A_4.pdb;2djg_0_1_B_4.pdb;2djg_A.pdb;2djg_B_6.pdb;0.2350747785823947
95;1rkc_B;1ydi_A;6;1rkc_0_1_B_1.pdb;1rkc_0_1_A_1.pdb;1rkc_B.pdb;1ydi_A_6.pdb;2.2288552851112473
96;2c0l_A;2c0l_A;6;2j9q_0_1_A_1.pdb;2j9q_0_1_B_1.pdb;2c0l_A.pdb;2c0l_A_6.pdb;22.644513964944842
97;1rkc_A;1rkc_B;11;1rkc_0_1_A_1.pdb;1rkc_0_1_B_1.pdb;1rkc_A.pdb;1rkc_B_11.pdb;0.9566233953273101
98;2djg_A;2djg_A;9;2djg_0_1_A_4.pdb;2djg_0_1_A_3.pdb;2djg_A.pdb;2djg_A_9.pdb;5.442169647995538
99;2djg_B;2djg_B;4;2djg_0_1_B_3.pdb;2djg_0_1_B_2.pdb;2djg_B.pdb;2djg_B_4.pdb;17.362907342189107
100;3bc1_B;3bc1_E;6;3bc1_0_1_B_1.pdb;3bc1_0_1_A_1.pdb;3bc1_B.pdb;3bc1_E_6.pdb;15.437927157251284
101;2djg_A;2djg_B;7;2djg_0_1_A_4.pdb;2djg_0_1_B_4.pdb;2djg_A.pdb;2djg_B_7.pdb;0.2350747785823947
102;3byh_A;3byh_A;4;4jhd_0_1_A_1.pdb;4jhd_0_1_B_1.pdb;3byh_A.pdb;3byh_A_4.pdb;14.045433152103815
103;3bc1_E;3bc1_E;9;2if0_0_3_A_1.pdb;2if0_0_3_B_1.pdb;3bc1_E.pdb;3bc1_E_9.pdb;24.216791168815995
104;1rkc_A;1rkc_B;12;1rkc_0_1_A_1.pdb;1rkc_0_1_B_1.pdb;1rkc_A.pdb;1rkc_B_12.pdb;0.9566233953273101
105;1rkc_B;1ydi_A;7;1rkc_0_1_B_1.pdb;1rkc_0_1_A_1.pdb;1rkc_B.pdb;1ydi_A_7.pdb;2.266139645510525
106;2c0l_A;2c0l_A;7;2j9q_0_1_A_1.pdb;2j9q_0_1_B_1.pdb;2c0l_A.pdb;2c0l_A_7.pdb;22.644514080252566
107;2djg_A;2djg_A;10;2djg_0_1_A_4.pdb;2djg_0_1_A_3.pdb;2djg_A.pdb;2djg_A_10.pdb;9.521066824948468
108;1i7x_C;1i7x_C;7;1i7x_0_1_C_1.pdb;1i7x_0_1_A_1.pdb;1i7x_C.pdb;1i7x_C_7.pdb;23.789794441197127
109;2djg_B;2djg_B;5;2djg_0_1_B_3.pdb;2djg_0_1_B_2.pdb;2djg_B.pdb;2djg_B_5.pdb;17.943052922233978
110;3bc1_B;3bc1_E;7;3bc1_0_1_B_1.pdb;3bc1_0_1_A_1.pdb;3bc1_B.pdb;3bc1_E_7.pdb;5.598389278816092
111;2djg_A;2djg_B;8;2djg_0_1_A_4.pdb;2djg_0_1_B_4.pdb;2djg_A.pdb;2djg_B_8.pdb;0.2350676994687478
112;3bc1_E;3bc1_E;10;2if0_0_3_A_1.pdb;2if0_0_3_B_1.pdb;3bc1_E.pdb;3bc1_E_10.pdb;23.147266413130723
113;1rkc_A;1rkc_B;13;1rkc_0_1_A_1.pdb;1rkc_0_1_B_1.pdb;1rkc_A.pdb;1rkc_B_13.pdb;0.9566309895186894
114;1rkc_B;1ydi_A;8;1rkc_0_1_B_1.pdb;1rkc_0_1_A_1.pdb;1rkc_B.pdb;1ydi_A_8.pdb;2.2288617287685866
115;3byh_A;3byh_A;5;4jhd_0_1_A_1.pdb;4jhd_0_1_B_1.pdb;3byh_A.pdb;3byh_A_5.pdb;14.045433152103815
116;2djg_A;2djg_A;11;2djg_0_1_A_4.pdb;2djg_0_1_A_3.pdb;2djg_A.pdb;2djg_A_11.pdb;5.509019980575386
117;2djg_B;2zl1_B;0;-;-;-;-;-1.0
118;2c0l_A;2c0l_A;8;2j9q_0_1_A_1.pdb;2j9q_0_1_B_1.pdb;2c0l_A.pdb;2c0l_A_8.pdb;22.644514612246383
119;2djg_B;3c5j_A;0;-;-;-;-;-1.0
120;2djg_B;2djg_B;6;2djg_0_1_B_3.pdb;2djg_0_1_B_2.pdb;2djg_B.pdb;2djg_B_6.pdb;17.94290438691005
121;3bc1_B;3bc1_E;8;3bc1_0_1_B_1.pdb;3bc1_0_1_A_1.pdb;3bc1_B.pdb;3bc1_E_8.pdb;15.437927157251284
122;2djg_A;2djg_B;9;2djg_0_1_A_4.pdb;2djg_0_1_B_4.pdb;2djg_A.pdb;2djg_B_9.pdb;0.23508043357352296
123;1i7x_C;1i7x_C;8;1i7x_0_1_C_1.pdb;1i7x_0_1_A_1.pdb;1i7x_C.pdb;1i7x_C_8.pdb;23.78979118179515
124;1rkc_A;1rkc_B;14;1rkc_0_1_A_1.pdb;1rkc_0_1_B_1.pdb;1rkc_A.pdb;1rkc_B_14.pdb;0.9566233953273101
125;1rkc_B;1ydi_A;9;1rkc_0_1_B_1.pdb;1rkc_0_1_A_1.pdb;1rkc_B.pdb;1ydi_A_9.pdb;2.266143790714103
126;3bc1_E;3bc1_E;11;2if0_0_3_A_1.pdb;2if0_0_3_B_1.pdb;3bc1_E.pdb;3bc1_E_11.pdb;23.780203546460616
127;2djg_B;2djg_B;7;2djg_0_1_B_3.pdb;2djg_0_1_B_2.pdb;2djg_B.pdb;2djg_B_7.pdb;17.94290438691005
128;3byh_A;3byh_A;6;4jhd_0_1_A_1.pdb;4jhd_0_1_B_1.pdb;3byh_A.pdb;3byh_A_6.pdb;14.045433152103815
129;3bc1_B;3bc1_E;9;3bc1_0_1_B_1.pdb;3bc1_0_1_A_1.pdb;3bc1_B.pdb;3bc1_E_9.pdb;15.437917583162099
130;2c0l_A;2c0l_A;9;2j9q_0_1_A_1.pdb;2j9q_0_1_B_1.pdb;2c0l_A.pdb;2c0l_A_9.pdb;22.644514080252566
131;2djg_A;2djg_B;10;2djg_0_1_A_4.pdb;2djg_0_1_B_4.pdb;2djg_A.pdb;2djg_B_10.pdb;0.2350747785823947
132;1rkc_B;1ydi_A;10;1rkc_0_1_B_1.pdb;1rkc_0_1_A_1.pdb;1rkc_B.pdb;1ydi_A_10.pdb;2.2661452789078824
133;1rkc_A;1rkc_B;15;1rkc_0_1_A_1.pdb;1rkc_0_1_B_1.pdb;1rkc_A.pdb;1rkc_B_15.pdb;0.956614704768118
134;3bc1_E;3bc1_E;12;2if0_0_3_A_1.pdb;2if0_0_3_B_1.pdb;3bc1_E.pdb;3bc1_E_12.pdb;23.147265248168605
135;2djg_B;2djg_B;8;2djg_0_1_B_3.pdb;2djg_0_1_B_2.pdb;2djg_B.pdb;2djg_B_8.pdb;17.94290438691005
136;3bc1_B;3bc1_E;10;3bc1_0_1_B_1.pdb;3bc1_0_1_A_1.pdb;3bc1_B.pdb;3bc1_E_10.pdb;5.598393641686318
137;2djg_A;2djg_B;11;2djg_0_1_A_4.pdb;2djg_0_1_B_4.pdb;2djg_A.pdb;2djg_B_11.pdb;0.23503908921963013
138;2djg_A;2djg_C;1;2djg_0_1_A_4.pdb;2djg_0_1_C_4.pdb;2djg_A.pdb;2djg_C_1.pdb;9.849572606495787
139;1i7x_C;1i7x_C;9;1i7x_0_1_C_1.pdb;1i7x_0_1_A_1.pdb;1i7x_C.pdb;1i7x_C_9.pdb;23.789790031200972
140;1rkc_A;1rkc_B;16;1rkc_0_1_A_1.pdb;1rkc_0_1_B_1.pdb;1rkc_A.pdb;1rkc_B_16.pdb;0.9566168980112171
141;1rkc_B;1ydi_A;11;1rkc_0_1_B_1.pdb;1rkc_0_1_A_1.pdb;1rkc_B.pdb;1ydi_A_11.pdb;2.266141752283325
142;2c0l_A;2c0l_A;10;2j9q_0_1_A_1.pdb;2j9q_0_1_B_1.pdb;2c0l_A.pdb;2c0l_A_10.pdb;22.644514080252566
143;3byh_A;3byh_A;7;4jhd_0_1_A_1.pdb;4jhd_0_1_B_1.pdb;3byh_A.pdb;3byh_A_7.pdb;14.045433152103815
144;3bc1_E;3bc1_E;13;2if0_0_3_A_1.pdb;2if0_0_3_B_1.pdb;3bc1_E.pdb;3bc1_E_13.pdb;24.216781363427195
145;3bc1_B;3bc1_E;11;3bc1_0_1_B_1.pdb;3bc1_0_1_A_1.pdb;3bc1_B.pdb;3bc1_E_11.pdb;10.39346529628402
146;2djg_B;2djg_B;9;2djg_0_1_B_3.pdb;2djg_0_1_B_2.pdb;2djg_B.pdb;2djg_B_9.pdb;17.94290438691005
147;2djg_A;2djg_B;12;2djg_0_1_A_4.pdb;2djg_0_1_B_4.pdb;2djg_A.pdb;2djg_B_12.pdb;0.23509785262162172
148;2djg_A;2djg_C;2;2djg_0_1_A_4.pdb;2djg_0_1_C_4.pdb;2djg_A.pdb;2djg_C_2.pdb;9.648684380550748
149;1rkc_A;1rkc_B;17;1rkc_0_1_A_1.pdb;1rkc_0_1_B_1.pdb;1rkc_A.pdb;1rkc_B_17.pdb;0.9566203220644217
150;1rkc_B;1ydi_A;12;1rkc_0_1_B_1.pdb;1rkc_0_1_A_1.pdb;1rkc_B.pdb;1ydi_A_12.pdb;2.266141752283325
151;2c0l_A;2c0l_A;11;2j9q_0_1_A_1.pdb;2j9q_0_1_B_1.pdb;2c0l_A.pdb;2c0l_A_11.pdb;22.644514612246383
152;3bc1_B;3bc1_E;12;3bc1_0_1_B_1.pdb;3bc1_0_1_A_1.pdb;3bc1_B.pdb;3bc1_E_12.pdb;15.437919151411151
153;3bc1_E;3bc1_E;14;2if0_0_3_A_1.pdb;2if0_0_3_B_1.pdb;3bc1_E.pdb;3bc1_E_14.pdb;24.216778203374332
154;3byh_A;3byh_A;8;4jhd_0_1_A_1.pdb;4jhd_0_1_B_1.pdb;3byh_A.pdb;3byh_A_8.pdb;14.045437485384031
155;1i7x_C;1i7x_C;10;1i7x_0_1_C_1.pdb;1i7x_0_1_A_1.pdb;1i7x_C.pdb;1i7x_C_10.pdb;23.78979118179515
156;2djg_A;2djg_C;3;2djg_0_1_A_4.pdb;2djg_0_1_C_4.pdb;2djg_A.pdb;2djg_C_3.pdb;19.564231303273715
157;2djg_B;2djg_B;10;2djg_0_1_B_3.pdb;2djg_0_1_B_2.pdb;2djg_B.pdb;2djg_B_10.pdb;26.668993901568772
158;2djg_A;2djg_B;13;2djg_0_1_A_4.pdb;2djg_0_1_B_4.pdb;2djg_A.pdb;2djg_B_13.pdb;0.2350747785823947
159;2djg_C;2zl1_B;0;-;-;-;-;-1.0
160;2djg_C;3c5j_A;0;-;-;-;-;-1.0
161;1apy_B;1lya_A;0;-;-;-;-;-1.0
162;1rkc_A;1rkc_B;18;1rkc_0_1_A_1.pdb;1rkc_0_1_B_1.pdb;1rkc_A.pdb;1rkc_B_18.pdb;0.9566287864834339
163;1apy_B;1lya_B;0;-;-;-;-;-1.0
164;1apy_B;1mhw_A;0;-;-;-;-;-1.0
165;1rkc_B;1ydi_A;13;1rkc_0_1_B_1.pdb;1rkc_0_1_A_1.pdb;1rkc_B.pdb;1ydi_A_13.pdb;2.2288572642020226
166;1apy_B;1mhw_C;0;-;-;-;-;-1.0
167;1apy_A;2djg_A;0;-;-;-;-;-1.0
168;3bc1_B;3bc1_E;13;3bc1_0_1_B_1.pdb;3bc1_0_1_A_1.pdb;3bc1_B.pdb;3bc1_E_13.pdb;5.598389500008873
169;3bc1_E;3bc1_E;15;2if0_0_3_A_1.pdb;2if0_0_3_B_1.pdb;3bc1_E.pdb;3bc1_E_15.pdb;25.385158866661275
170;2c0l_A;2c0l_A;12;2j9q_0_1_A_1.pdb;2j9q_0_1_B_1.pdb;2c0l_A.pdb;2c0l_A_12.pdb;22.644514080252566
171;2djg_A;2djg_C;4;2djg_0_1_A_4.pdb;2djg_0_1_C_4.pdb;2djg_A.pdb;2djg_C_4.pdb;19.564231303273715
172;2djg_B;2djg_B;11;2djg_0_1_B_3.pdb;2djg_0_1_B_2.pdb;2djg_B.pdb;2djg_B_11.pdb;26.668993901568772
173;1rkc_A;1rkc_B;19;1rkc_0_1_A_1.pdb;1rkc_0_1_B_1.pdb;1rkc_A.pdb;1rkc_B_19.pdb;0.9566233953273101
174;1rkc_B;1ydi_A;14;1rkc_0_1_B_1.pdb;1rkc_0_1_A_1.pdb;1rkc_B.pdb;1ydi_A_14.pdb;2.2661458403322654
175;3byh_A;3byh_A;9;4jhd_0_1_A_1.pdb;4jhd_0_1_B_1.pdb;3byh_A.pdb;3byh_A_9.pdb;14.045433152103815
176;1i7x_C;1i7x_C;11;1i7x_0_1_C_1.pdb;1i7x_0_1_A_1.pdb;1i7x_C.pdb;1i7x_C_11.pdb;23.789787873390328
177;3bc1_B;3bc1_E;14;3bc1_0_1_B_1.pdb;3bc1_0_1_A_1.pdb;3bc1_B.pdb;3bc1_E_14.pdb;15.437929515019885
178;3bc1_E;3bc1_E;16;2if0_0_3_A_1.pdb;2if0_0_3_B_1.pdb;3bc1_E.pdb;3bc1_E_16.pdb;24.25021883138601
179;2djg_A;2djg_C;5;2djg_0_1_A_4.pdb;2djg_0_1_C_4.pdb;2djg_A.pdb;2djg_C_5.pdb;19.263902219456643
180;2djg_B;2djg_B;12;2djg_0_1_B_3.pdb;2djg_0_1_B_2.pdb;2djg_B.pdb;2djg_B_12.pdb;26.668993901568772
181;2c0l_A;2c0l_A;13;2j9q_0_1_A_1.pdb;2j9q_0_1_B_1.pdb;2c0l_A.pdb;2c0l_A_13.pdb;22.644513964944842
182;1rkc_A;1rkc_B;20;1rkc_0_1_A_1.pdb;1rkc_0_1_B_1.pdb;1rkc_A.pdb;1rkc_B_20.pdb;0.9566233953273101
183;1rkc_B;1ydi_A;15;1rkc_0_1_B_1.pdb;1rkc_0_1_A_1.pdb;1rkc_B.pdb;1ydi_A_15.pdb;2.2288574950280378
184;2djg_A;2djg_C;6;2djg_0_1_A_4.pdb;2djg_0_1_C_4.pdb;2djg_A.pdb;2djg_C_6.pdb;19.564233052835387
185;3bc1_B;3bc1_E;15;3bc1_0_1_B_1.pdb;3bc1_0_1_A_1.pdb;3bc1_B.pdb;3bc1_E_15.pdb;10.39346456036438
186;3byh_A;3byh_A;10;4jhd_0_1_A_1.pdb;4jhd_0_1_B_1.pdb;3byh_A.pdb;3byh_A_10.pdb;14.045433152103815
187;3bc1_E;3bc1_E;17;2if0_0_3_A_1.pdb;2if0_0_3_B_1.pdb;3bc1_E.pdb;3bc1_E_17.pdb;23.780209018244776
188;1apy_A;1apy_B;1;1apy_0_1_A_1.pdb;1apy_0_1_B_1.pdb;1apy_A.pdb;1apy_B_1.pdb;4.077802905032634
