;rec;lig;#dock;pdb_expr_rec;pdb_expr_lig;pdb_dock_rec;pdb_dock_lig;deviation
56;1i7x_C;1i7x_C;5;1i7x_0_1_C_1.pdb;1i7x_0_1_A_1.pdb;1i7x_C.pdb;1i7x_C_5.pdb;23.789792194430483
57;1rkc_A;1rkc_B;3;1rkc_0_1_A_1.pdb;1rkc_0_1_B_1.pdb;1rkc_A.pdb;1rkc_B_3.pdb;0.9566236335384076
58;2djg_A;2djg_B;4;2djg_0_1_A_4.pdb;2djg_0_1_B_4.pdb;2djg_A.pdb;2djg_B_4.pdb;0.2350747785823943
59;2c0l_A;2c0l_A;4;2j9q_0_1_A_1.pdb;2j9q_0_1_B_1.pdb;2c0l_A.pdb;2c0l_A_4.pdb;15.482345050041282
60;3bc1_B;3bc1_E;1;3bc1_0_1_B_1.pdb;3bc1_0_1_A_1.pdb;3bc1_B.pdb;3bc1_E_1.pdb;10.393459429898376
61;1rkc_B;1ydi_A;2;1rkc_0_1_B_1.pdb;1rkc_0_1_A_1.pdb;1rkc_B.pdb;1ydi_A_2.pdb;2.2288623651811754
62;3byh_A;3byh_A;1;4jhd_0_1_A_1.pdb;4jhd_0_1_B_1.pdb;3byh_A.pdb;3byh_A_1.pdb;17.33558469877055
63;2djg_A;2djg_A;5;2djg_0_1_A_4.pdb;2djg_0_1_A_3.pdb;2djg_A.pdb;2djg_A_5.pdb;5.508946773182607
64;1rkc_A;1rkc_B;4;1rkc_0_1_A_1.pdb;1rkc_0_1_B_1.pdb;1rkc_A.pdb;1rkc_B_4.pdb;0.9566268885389583
65;1i7x_C;1i7x_C;6;1i7x_0_1_C_1.pdb;1i7x_0_1_A_1.pdb;1i7x_C.pdb;1i7x_C_6.pdb;23.78978787339032
66;2djg_A;2djg_B;5;2djg_0_1_A_4.pdb;2djg_0_1_B_4.pdb;2djg_A.pdb;2djg_B_5.pdb;0.2350747785823943
67;2c0l_A;2c0l_A;5;2j9q_0_1_A_1.pdb;2j9q_0_1_B_1.pdb;2c0l_A.pdb;2c0l_A_5.pdb;22.644513964944828
68;3bc1_B;3bc1_E;2;3bc1_0_1_B_1.pdb;3bc1_0_1_A_1.pdb;3bc1_B.pdb;3bc1_E_2.pdb;5.598389278816093
69;2djg_A;2djg_A;6;2djg_0_1_A_4.pdb;2djg_0_1_A_3.pdb;2djg_A.pdb;2djg_A_6.pdb;5.508946773182607
70;1rkc_B;1ydi_A;3;1rkc_0_1_B_1.pdb;1rkc_0_1_A_1.pdb;1rkc_B.pdb;1ydi_A_3.pdb;2.2288492769002963
71;3byh_A;3byh_A;2;4jhd_0_1_A_1.pdb;4jhd_0_1_B_1.pdb;3byh_A.pdb;3byh_A_2.pdb;14.045433152103811
72;1rkc_A;1rkc_B;5;1rkc_0_1_A_1.pdb;1rkc_0_1_B_1.pdb;1rkc_A.pdb;1rkc_B_5.pdb;0.9566233953273113
73;2djg_B;2djg_B;1;2djg_0_1_B_3.pdb;2djg_0_1_B_2.pdb;2djg_B.pdb;2djg_B_1.pdb;26.668993901568772
74;2djg_A;2djg_B;6;2djg_0_1_A_4.pdb;2djg_0_1_B_4.pdb;2djg_A.pdb;2djg_B_6.pdb;0.2350747785823943
75;2c0l_A;2c0l_A;6;2j9q_0_1_A_1.pdb;2j9q_0_1_B_1.pdb;2c0l_A.pdb;2c0l_A_6.pdb;22.644513964944828
76;1i7x_C;1i7x_C;7;1i7x_0_1_C_1.pdb;1i7x_0_1_A_1.pdb;1i7x_C.pdb;1i7x_C_7.pdb;23.789794441197127
77;1rkc_B;1ydi_A;4;1rkc_0_1_B_1.pdb;1rkc_0_1_A_1.pdb;1rkc_B.pdb;1ydi_A_4.pdb;2.2661437907141027
78;3bc1_B;3bc1_E;3;3bc1_0_1_B_1.pdb;3bc1_0_1_A_1.pdb;3bc1_B.pdb;3bc1_E_3.pdb;5.598389278816093
79;2djg_A;2djg_A;7;2djg_0_1_A_4.pdb;2djg_0_1_A_3.pdb;2djg_A.pdb;2djg_A_7.pdb;5.5090199805753866
80;1rkc_A;1rkc_B;6;1rkc_0_1_A_1.pdb;1rkc_0_1_B_1.pdb;1rkc_A.pdb;1rkc_B_6.pdb;0.9566233953273113
81;3byh_A;3byh_A;3;4jhd_0_1_A_1.pdb;4jhd_0_1_B_1.pdb;3byh_A.pdb;3byh_A_3.pdb;14.045468191876132
82;2djg_B;2djg_B;2;2djg_0_1_B_3.pdb;2djg_0_1_B_2.pdb;2djg_B.pdb;2djg_B_2.pdb;17.268376815906773
83;2djg_A;2djg_B;7;2djg_0_1_A_4.pdb;2djg_0_1_B_4.pdb;2djg_A.pdb;2djg_B_7.pdb;0.2350747785823943
84;2c0l_A;2c0l_A;7;2j9q_0_1_A_1.pdb;2j9q_0_1_B_1.pdb;2c0l_A.pdb;2c0l_A_7.pdb;22.644514080252574
85;1rkc_B;1ydi_A;5;1rkc_0_1_B_1.pdb;1rkc_0_1_A_1.pdb;1rkc_B.pdb;1ydi_A_5.pdb;2.266145002794782
86;3bc1_B;3bc1_E;4;3bc1_0_1_B_1.pdb;3bc1_0_1_A_1.pdb;3bc1_B.pdb;3bc1_E_4.pdb;15.437934431954645
87;1i7x_C;1i7x_C;8;1i7x_0_1_C_1.pdb;1i7x_0_1_A_1.pdb;1i7x_C.pdb;1i7x_C_8.pdb;23.789791181795152
88;2djg_A;2djg_A;8;2djg_0_1_A_4.pdb;2djg_0_1_A_3.pdb;2djg_A.pdb;2djg_A_8.pdb;5.508914992283752
89;2djg_B;2djg_B;3;2djg_0_1_B_3.pdb;2djg_0_1_B_2.pdb;2djg_B.pdb;2djg_B_3.pdb;25.992763810281396
90;1rkc_A;1rkc_B;7;1rkc_0_1_A_1.pdb;1rkc_0_1_B_1.pdb;1rkc_A.pdb;1rkc_B_7.pdb;0.9566233953273113
91;3byh_A;3byh_A;4;4jhd_0_1_A_1.pdb;4jhd_0_1_B_1.pdb;3byh_A.pdb;3byh_A_4.pdb;14.045433152103811
92;2djg_A;2djg_B;8;2djg_0_1_A_4.pdb;2djg_0_1_B_4.pdb;2djg_A.pdb;2djg_B_8.pdb;0.23506769946874792
93;2djg_A;2djg_A;9;2djg_0_1_A_4.pdb;2djg_0_1_A_3.pdb;2djg_A.pdb;2djg_A_9.pdb;5.442169647995538
94;3bc1_B;3bc1_E;5;3bc1_0_1_B_1.pdb;3bc1_0_1_A_1.pdb;3bc1_B.pdb;3bc1_E_5.pdb;10.393452144699634
95;2c0l_A;2c0l_A;8;2j9q_0_1_A_1.pdb;2j9q_0_1_B_1.pdb;2c0l_A.pdb;2c0l_A_8.pdb;22.644514612246383
96;1rkc_B;1ydi_A;6;1rkc_0_1_B_1.pdb;1rkc_0_1_A_1.pdb;1rkc_B.pdb;1ydi_A_6.pdb;2.2288552851112478
97;1rkc_A;1rkc_B;8;1rkc_0_1_A_1.pdb;1rkc_0_1_B_1.pdb;1rkc_A.pdb;1rkc_B_8.pdb;0.9566105131452352
98;2djg_B;2djg_B;4;2djg_0_1_B_3.pdb;2djg_0_1_B_2.pdb;2djg_B.pdb;2djg_B_4.pdb;17.362907342189107
99;1i7x_C;1i7x_C;9;1i7x_0_1_C_1.pdb;1i7x_0_1_A_1.pdb;1i7x_C.pdb;1i7x_C_9.pdb;23.789790031200972
100;2djg_A;2djg_B;9;2djg_0_1_A_4.pdb;2djg_0_1_B_4.pdb;2djg_A.pdb;2djg_B_9.pdb;0.2350804335735227
101;3byh_A;3byh_A;5;4jhd_0_1_A_1.pdb;4jhd_0_1_B_1.pdb;3byh_A.pdb;3byh_A_5.pdb;14.045433152103811
102;3bc1_B;3bc1_E;6;3bc1_0_1_B_1.pdb;3bc1_0_1_A_1.pdb;3bc1_B.pdb;3bc1_E_6.pdb;15.437927157251284
103;2djg_A;2djg_A;10;2djg_0_1_A_4.pdb;2djg_0_1_A_3.pdb;2djg_A.pdb;2djg_A_10.pdb;9.521066824948468
104;1rkc_B;1ydi_A;7;1rkc_0_1_B_1.pdb;1rkc_0_1_A_1.pdb;1rkc_B.pdb;1ydi_A_7.pdb;2.2661396455105254
105;2c0l_A;2c0l_A;9;2j9q_0_1_A_1.pdb;2j9q_0_1_B_1.pdb;2c0l_A.pdb;2c0l_A_9.pdb;22.644514080252574
106;1rkc_A;1rkc_B;9;1rkc_0_1_A_1.pdb;1rkc_0_1_B_1.pdb;1rkc_A.pdb;1rkc_B_9.pdb;0.9566233953273113
107;2djg_B;2djg_B;5;2djg_0_1_B_3.pdb;2djg_0_1_B_2.pdb;2djg_B.pdb;2djg_B_5.pdb;17.943052922233978
108;1i7x_C;1i7x_C;10;1i7x_0_1_C_1.pdb;1i7x_0_1_A_1.pdb;1i7x_C.pdb;1i7x_C_10.pdb;23.789791181795152
109;2djg_A;2djg_B;10;2djg_0_1_A_4.pdb;2djg_0_1_B_4.pdb;2djg_A.pdb;2djg_B_10.pdb;0.2350747785823943
110;3byh_A;3byh_A;6;4jhd_0_1_A_1.pdb;4jhd_0_1_B_1.pdb;3byh_A.pdb;3byh_A_6.pdb;14.045433152103811
111;3bc1_B;3bc1_E;7;3bc1_0_1_B_1.pdb;3bc1_0_1_A_1.pdb;3bc1_B.pdb;3bc1_E_7.pdb;5.598389278816093
112;2djg_A;2djg_A;11;2djg_0_1_A_4.pdb;2djg_0_1_A_3.pdb;2djg_A.pdb;2djg_A_11.pdb;5.5090199805753866
113;2djg_C;2zl1_B;0;-;-;-;-;-1.0
114;1rkc_B;1ydi_A;8;1rkc_0_1_B_1.pdb;1rkc_0_1_A_1.pdb;1rkc_B.pdb;1ydi_A_8.pdb;2.228861728768587
115;2djg_C;3c5j_A;0;-;-;-;-;-1.0
116;2c0l_A;2c0l_A;10;2j9q_0_1_A_1.pdb;2j9q_0_1_B_1.pdb;2c0l_A.pdb;2c0l_A_10.pdb;22.644514080252574
117;1apy_B;1lya_A;0;-;-;-;-;-1.0
118;1apy_B;1lya_B;0;-;-;-;-;-1.0
119;1apy_B;1mhw_A;0;-;-;-;-;-1.0
120;1apy_B;1mhw_C;0;-;-;-;-;-1.0
121;1apy_A;2djg_A;0;-;-;-;-;-1.0
122;1rkc_A;1rkc_B;10;1rkc_0_1_A_1.pdb;1rkc_0_1_B_1.pdb;1rkc_A.pdb;1rkc_B_10.pdb;0.9566188276016432
123;2djg_B;2djg_B;6;2djg_0_1_B_3.pdb;2djg_0_1_B_2.pdb;2djg_B.pdb;2djg_B_6.pdb;17.94290438691005
124;2djg_A;2djg_B;11;2djg_0_1_A_4.pdb;2djg_0_1_B_4.pdb;2djg_A.pdb;2djg_B_11.pdb;0.23503908921963043
125;3bc1_B;3bc1_E;8;3bc1_0_1_B_1.pdb;3bc1_0_1_A_1.pdb;3bc1_B.pdb;3bc1_E_8.pdb;15.437927157251284
126;1i7x_C;1i7x_C;11;1i7x_0_1_C_1.pdb;1i7x_0_1_A_1.pdb;1i7x_C.pdb;1i7x_C_11.pdb;23.78978787339032
127;3byh_A;3byh_A;7;4jhd_0_1_A_1.pdb;4jhd_0_1_B_1.pdb;3byh_A.pdb;3byh_A_7.pdb;14.045433152103811
128;1rkc_B;1ydi_A;9;1rkc_0_1_B_1.pdb;1rkc_0_1_A_1.pdb;1rkc_B.pdb;1ydi_A_9.pdb;2.2661437907141027
129;1rkc_A;1rkc_B;11;1rkc_0_1_A_1.pdb;1rkc_0_1_B_1.pdb;1rkc_A.pdb;1rkc_B_11.pdb;0.9566233953273113
130;2c0l_A;2c0l_A;11;2j9q_0_1_A_1.pdb;2j9q_0_1_B_1.pdb;2c0l_A.pdb;2c0l_A_11.pdb;22.644514612246383
131;2djg_B;2djg_B;7;2djg_0_1_B_3.pdb;2djg_0_1_B_2.pdb;2djg_B.pdb;2djg_B_7.pdb;17.94290438691005
132;2djg_A;2djg_B;12;2djg_0_1_A_4.pdb;2djg_0_1_B_4.pdb;2djg_A.pdb;2djg_B_12.pdb;0.23509785262162233
133;3bc1_B;3bc1_E;9;3bc1_0_1_B_1.pdb;3bc1_0_1_A_1.pdb;3bc1_B.pdb;3bc1_E_9.pdb;15.437917583162099
134;3byh_A;3byh_A;8;4jhd_0_1_A_1.pdb;4jhd_0_1_B_1.pdb;3byh_A.pdb;3byh_A_8.pdb;14.045437485384024
135;1i7x_C;1i7x_C;12;1i7x_0_1_C_1.pdb;1i7x_0_1_A_1.pdb;1i7x_C.pdb;1i7x_C_12.pdb;23.789791181795152
136;2djg_A;2djg_C;1;2djg_0_1_A_4.pdb;2djg_0_1_C_4.pdb;2djg_A.pdb;2djg_C_1.pdb;9.849572606495785
137;1rkc_A;1rkc_B;12;1rkc_0_1_A_1.pdb;1rkc_0_1_B_1.pdb;1rkc_A.pdb;1rkc_B_12.pdb;0.9566233953273113
138;1rkc_B;1ydi_A;10;1rkc_0_1_B_1.pdb;1rkc_0_1_A_1.pdb;1rkc_B.pdb;1ydi_A_10.pdb;2.2661452789078838
139;2c0l_A;2c0l_A;12;2j9q_0_1_A_1.pdb;2j9q_0_1_B_1.pdb;2c0l_A.pdb;2c0l_A_12.pdb;22.644514080252574
140;2djg_B;2djg_B;8;2djg_0_1_B_3.pdb;2djg_0_1_B_2.pdb;2djg_B.pdb;2djg_B_8.pdb;17.94290438691005
141;2djg_A;2djg_B;13;2djg_0_1_A_4.pdb;2djg_0_1_B_4.pdb;2djg_A.pdb;2djg_B_13.pdb;0.2350747785823943
142;1apy_A;1apy_B;1;1apy_0_1_A_1.pdb;1apy_0_1_B_1.pdb;1apy_A.pdb;1apy_B_1.pdb;4.077802905032633
143;3bc1_B;3bc1_E;10;3bc1_0_1_B_1.pdb;3bc1_0_1_A_1.pdb;3bc1_B.pdb;3bc1_E_10.pdb;5.598393641686324
144;2djg_A;2djg_C;2;2djg_0_1_A_4.pdb;2djg_0_1_C_4.pdb;2djg_A.pdb;2djg_C_2.pdb;9.648684380550746
145;1rkc_B;1ydi_A;11;1rkc_0_1_B_1.pdb;1rkc_0_1_A_1.pdb;1rkc_B.pdb;1ydi_A_11.pdb;2.266141752283325
146;1rkc_A;1rkc_B;13;1rkc_0_1_A_1.pdb;1rkc_0_1_B_1.pdb;1rkc_A.pdb;1rkc_B_13.pdb;0.9566309895186887
147;3byh_A;3byh_A;9;4jhd_0_1_A_1.pdb;4jhd_0_1_B_1.pdb;3byh_A.pdb;3byh_A_9.pdb;14.045433152103811
148;2djg_B;2djg_B;9;2djg_0_1_B_3.pdb;2djg_0_1_B_2.pdb;2djg_B.pdb;2djg_B_9.pdb;17.94290438691005
149;2c0l_A;2c0l_A;13;2j9q_0_1_A_1.pdb;2j9q_0_1_B_1.pdb;2c0l_A.pdb;2c0l_A_13.pdb;22.644513964944828
150;1i7x_C;1i7x_C;13;1i7x_0_1_C_1.pdb;1i7x_0_1_A_1.pdb;1i7x_C.pdb;1i7x_C_13.pdb;23.78978787339032
151;1apy_A;1apy_B;2;1apy_0_1_A_1.pdb;1apy_0_1_B_1.pdb;1apy_A.pdb;1apy_B_2.pdb;4.077764138662879
152;3bc1_B;3bc1_E;11;3bc1_0_1_B_1.pdb;3bc1_0_1_A_1.pdb;3bc1_B.pdb;3bc1_E_11.pdb;10.39346529628402
153;2djg_A;2djg_C;3;2djg_0_1_A_4.pdb;2djg_0_1_C_4.pdb;2djg_A.pdb;2djg_C_3.pdb;19.564231303273697
154;1rkc_A;1rkc_B;14;1rkc_0_1_A_1.pdb;1rkc_0_1_B_1.pdb;1rkc_A.pdb;1rkc_B_14.pdb;0.9566233953273113
155;1rkc_B;1ydi_A;12;1rkc_0_1_B_1.pdb;1rkc_0_1_A_1.pdb;1rkc_B.pdb;1ydi_A_12.pdb;2.266141752283325
156;3byh_A;3byh_A;10;4jhd_0_1_A_1.pdb;4jhd_0_1_B_1.pdb;3byh_A.pdb;3byh_A_10.pdb;14.045433152103811
157;2djg_B;2djg_B;10;2djg_0_1_B_3.pdb;2djg_0_1_B_2.pdb;2djg_B.pdb;2djg_B_10.pdb;26.668993901568772
158;2c0l_A;2c0l_A;14;2j9q_0_1_A_1.pdb;2j9q_0_1_B_1.pdb;2c0l_A.pdb;2c0l_A_14.pdb;11.539984431942536
159;1apy_A;1apy_B;3;1apy_0_1_A_1.pdb;1apy_0_1_B_1.pdb;1apy_A.pdb;1apy_B_3.pdb;17.598430893070123
160;1i7x_C;1i7x_C;14;1i7x_0_1_C_1.pdb;1i7x_0_1_A_1.pdb;1i7x_C.pdb;1i7x_C_14.pdb;23.789791181795152
161;3bc1_B;3bc1_E;12;3bc1_0_1_B_1.pdb;3bc1_0_1_A_1.pdb;3bc1_B.pdb;3bc1_E_12.pdb;15.437919151411146
162;2djg_A;2djg_C;4;2djg_0_1_A_4.pdb;2djg_0_1_C_4.pdb;2djg_A.pdb;2djg_C_4.pdb;19.564231303273697
163;1rkc_A;1rkc_B;15;1rkc_0_1_A_1.pdb;1rkc_0_1_B_1.pdb;1rkc_A.pdb;1rkc_B_15.pdb;0.956614704768119
164;1rkc_B;1ydi_A;13;1rkc_0_1_B_1.pdb;1rkc_0_1_A_1.pdb;1rkc_B.pdb;1ydi_A_13.pdb;2.2288572642020226
165;2djg_B;2djg_B;11;2djg_0_1_B_3.pdb;2djg_0_1_B_2.pdb;2djg_B.pdb;2djg_B_11.pdb;26.668993901568772
166;2c0l_A;2c0l_A;15;2j9q_0_1_A_1.pdb;2j9q_0_1_B_1.pdb;2c0l_A.pdb;2c0l_A_15.pdb;11.539992356734524
167;3byh_A;3byh_A;11;4jhd_0_1_A_1.pdb;4jhd_0_1_B_1.pdb;3byh_A.pdb;3byh_A_11.pdb;14.045433152103811
168;1apy_A;1apy_B;4;1apy_0_1_A_1.pdb;1apy_0_1_B_1.pdb;1apy_A.pdb;1apy_B_4.pdb;4.077764138662879
169;3bc1_B;3bc1_E;13;3bc1_0_1_B_1.pdb;3bc1_0_1_A_1.pdb;3bc1_B.pdb;3bc1_E_13.pdb;5.598389500008869
170;1apy_A;1apy_A;1;1apy_0_1_A_1.pdb;1apy_0_1_C_1.pdb;1apy_A.pdb;1apy_A_1.pdb;25.448516267592463
171;2djg_A;2djg_C;5;2djg_0_1_A_4.pdb;2djg_0_1_C_4.pdb;2djg_A.pdb;2djg_C_5.pdb;19.263902219456643
172;1i7x_C;1i7x_C;15;1i7x_0_1_C_1.pdb;1i7x_0_1_A_1.pdb;1i7x_C.pdb;1i7x_C_15.pdb;23.789791181795152
173;1rkc_A;1rkc_B;16;1rkc_0_1_A_1.pdb;1rkc_0_1_B_1.pdb;1rkc_A.pdb;1rkc_B_16.pdb;0.9566168980112165
174;1rkc_B;1ydi_A;14;1rkc_0_1_B_1.pdb;1rkc_0_1_A_1.pdb;1rkc_B.pdb;1ydi_A_14.pdb;2.2661458403322654
175;1apy_A;2djg_B;0;-;-;-;-;-1.0
176;1apy_A;2djg_C;0;-;-;-;-;-1.0
177;1apy_A;1mhw_A;0;-;-;-;-;-1.0
178;1apy_A;1lya_A;0;-;-;-;-;-1.0
179;1apy_A;1lya_B;0;-;-;-;-;-1.0
180;1apy_A;1mhw_C;0;-;-;-;-;-1.0
181;1apy_A;2zl1_B;0;-;-;-;-;-1.0
182;2djg_B;2djg_B;12;2djg_0_1_B_3.pdb;2djg_0_1_B_2.pdb;2djg_B.pdb;2djg_B_12.pdb;26.668993901568772
183;2c0l_A;2c0l_A;16;2j9q_0_1_A_1.pdb;2j9q_0_1_B_1.pdb;2c0l_A.pdb;2c0l_A_16.pdb;22.644509524964967
184;3byh_A;3byh_A;12;4jhd_0_1_A_1.pdb;4jhd_0_1_B_1.pdb;3byh_A.pdb;3byh_A_12.pdb;14.045433152103811
185;1apy_A;1apy_B;5;1apy_0_1_A_1.pdb;1apy_0_1_B_1.pdb;1apy_A.pdb;1apy_B_5.pdb;4.077764744392486
186;3bc1_B;3bc1_E;14;3bc1_0_1_B_1.pdb;3bc1_0_1_A_1.pdb;3bc1_B.pdb;3bc1_E_14.pdb;15.437929515019889
187;1apy_A;1apy_A;2;1apy_0_1_A_1.pdb;1apy_0_1_C_1.pdb;1apy_A.pdb;1apy_A_2.pdb;25.448522829371274
188;2djg_A;2djg_C;6;2djg_0_1_A_4.pdb;2djg_0_1_C_4.pdb;2djg_A.pdb;2djg_C_6.pdb;19.564233052835398
189;1rkc_A;1rkc_B;17;1rkc_0_1_A_1.pdb;1rkc_0_1_B_1.pdb;1rkc_A.pdb;1rkc_B_17.pdb;0.9566203220644227
190;1rkc_B;1ydi_A;15;1rkc_0_1_B_1.pdb;1rkc_0_1_A_1.pdb;1rkc_B.pdb;1ydi_A_15.pdb;2.2288574950280373
191;2djg_B;2djg_B;13;2djg_0_1_B_3.pdb;2djg_0_1_B_2.pdb;2djg_B.pdb;2djg_B_13.pdb;26.668993901568772
192;2c0l_A;2c0l_A;17;2j9q_0_1_A_1.pdb;2j9q_0_1_B_1.pdb;2c0l_A.pdb;2c0l_A_17.pdb;22.644514346190697
193;3byh_A;3byh_A;13;4jhd_0_1_A_1.pdb;4jhd_0_1_B_1.pdb;3byh_A.pdb;3byh_A_13.pdb;14.0454392927479
