;Rec;Lig;negatome;hippie_value;Rec_nRes;Lig_nRes;Rec_clustID;Lig_clustID;Inter_70;Inter_90;Rec_expr_70;Lig_expr_70;n_inter_res_rec_70;n_inter_res_lig_70;n_cont_comp_70;Rec_expr_90;Lig_expr_90;n_inter_res_rec_90;n_inter_res_lig_90;n_cont_comp_90;nPoses;nPoseClust;nHighPose_lRMSD_70;nMediumPose_lRMSD_70;nAcceptablePose_lRMSD_70;nIncorrectPose_lRMSD_70;nHighPose_lRMSD_90;nMediumPose_lRMSD_90;nAcceptablePose_lRMSD_90;nIncorrectPose_lRMSD_90;min_lRMSD_70;max_lRMSD_70;min_lRMSD_90;max_lRMSD_90;nHighPose_iRMSD_70;nMediumPose_iRMSD_70;nAcceptablePose_iRMSD_70;nIncorrectPose_iRMSD_70;nHighPose_iRMSD_90;nMediumPose_iRMSD_90;nAcceptablePose_iRMSD_90;nIncorrectPose_iRMSD_90;min_iRMSD_70;max_iRMSD_70;min_iRMSD_90;max_iRMSD_90;nHighPose_fnat_70;nMediumPose_fnat_70;nAcceptablePose_fnat_70;nIncorrectPose_fnat_70;nHighPose_fnat_90;nMediumPose_fnat_90;nAcceptablePose_fnat_90;nIncorrectPose_fnat_90;min_fnat_70;max_fnat_70;min_fnat_90;max_fnat_90;nOkPose_intcov_70;nBadPose_intcov_70;min_intcov_70;max_intcov_70;nOkPose_intcov_90;nBadPose_intcov_90;min_intcov_90;max_intcov_90;deformation_rmsd_lig_70;deformation_rmsd_rec_70;deformation_rmsd_lig_90;deformation_rmsd_rec_90;howmanyxray
10;1ck4_A;1ck4_B;False;-1.0;193;195;385;385;True;True;1qc5_0_1_B_1.pdb;1qc5_0_1_A_1.pdb;8;4;110;1qc5_0_1_B_1.pdb;1qc5_0_1_A_1.pdb;8;4;110;5405;0;0;0;0;5405;0;0;0;5405;15.2982;994.387;15.2982;994.387;0;0;0;0;0;0;0;0;-1.0;-1.0;-1.0;-1.0;0;0;0;0;0;0;0;0;-1.0;-1.0;-1.0;-1.0;0;0;-1.0;-1.0;0;0;-1.0;-1.0;0.4881826110501733;0.5632099123667917;0.4881826110501733;0.5632099123667917;0
11;3byh_A;3byh_A;False;-1.0;374;374;28;28;True;True;4jhd_0_1_A_1.pdb;4jhd_0_1_B_1.pdb;10;9;79;4jhd_0_1_A_1.pdb;4jhd_0_1_B_1.pdb;10;9;79;60923;0;0;0;2;60921;0;0;2;60921;9.570730000000001;1050.18;9.570730000000001;1050.18;0;0;0;2;0;0;0;2;5.756822795538887;6.076767422894586;5.756822795538887;6.076767422894586;0;0;0;2;0;0;0;2;0.0;0.0;0.0;0.0;0;60923;0.0;0.0;0;60923;0.0;0.0;3.950151330625367;3.9193808344445276;3.950151330625367;3.9193808344445276;0
12;3bc1_B;3bc1_E;False;-1.0;52;175;21840;16;True;True;3bc1_0_1_B_1.pdb;3bc1_0_1_A_1.pdb;17;29;501;3bc1_0_1_B_1.pdb;3bc1_0_1_A_1.pdb;17;29;501;22550;0;0;0;9;22541;0;0;9;22541;5.17924;1016.74;5.17924;1016.74;0;0;2;7;0;0;2;7;3.9327230464489467;6.477924813495909;3.9327230464489467;6.477924813495909;0;0;3;6;0;0;3;6;0.0;0.2620689655172414;0.0;0.2620689655172414;0;22550;0.1836734693877551;0.5102040816326531;0;22550;0.1836734693877551;0.5102040816326531;8.403641193814567e-15;0.3877454204289539;8.403641193814567e-15;0.3877454204289539;0
13;1ck4_B;1ck4_B;False;-1.0;195;195;385;385;True;True;1qc5_0_1_B_1.pdb;1qc5_0_1_A_1.pdb;8;4;110;1qc5_0_1_B_1.pdb;1qc5_0_1_A_1.pdb;8;4;110;4330;0;0;0;0;4330;0;0;0;4330;24.1973;1037.64;24.1973;1037.64;0;0;0;0;0;0;0;0;-1.0;-1.0;-1.0;-1.0;0;0;0;0;0;0;0;0;-1.0;-1.0;-1.0;-1.0;0;0;-1.0;-1.0;0;0;-1.0;-1.0;0.4980591713849575;0.5632099123667927;0.4980591713849575;0.5632099123667927;0
14;2c0l_A;2c0l_A;False;0.49;292;292;4167;4167;True;True;2j9q_0_1_A_1.pdb;2j9q_0_1_B_1.pdb;33;32;415;2j9q_0_1_A_1.pdb;2j9q_0_1_B_1.pdb;33;32;415;54179;0;0;0;2;54177;0;0;2;54177;8.71618;1034.2;8.71618;1034.2;0;0;0;2;0;0;0;2;6.026041819956882;7.676034120753283;6.026041819956882;7.676034120753283;0;0;0;2;0;0;0;2;0.0;0.0;0.0;0.0;0;54179;0.0;0.0;0;54179;0.0;0.0;2.801770123781678;4.124754968964609;2.801770123781678;4.124754968964609;0
15;1apy_A;1apy_B;False;0.68;161;141;13658;3107;True;True;1apy_0_1_A_1.pdb;1apy_0_1_B_1.pdb;71;63;1938;1apy_0_1_A_1.pdb;1apy_0_1_B_1.pdb;71;63;1938;31444;0;0;0;4;31440;0;0;4;31440;7.37149;203.109;7.37149;203.109;0;0;0;4;0;0;0;4;5.049180505074222;5.049301218241106;5.049180505074222;5.049301218241106;0;0;0;4;0;0;0;4;0.06553147574819401;0.06553147574819401;0.06553147574819401;0.06553147574819401;0;31444;0.35106382978723405;0.35106382978723405;0;31444;0.35106382978723405;0.35106382978723405;8.959159470408728e-15;9.724983366671254e-15;8.959159470408728e-15;9.724983366671254e-15;0
16;1apy_B;1apy_B;False;0.68;141;141;3107;3107;True;True;1apy_0_1_B_1.pdb;1apy_0_1_D_1.pdb;16;17;257;1apy_0_1_B_1.pdb;1apy_0_1_D_1.pdb;16;17;257;14789;0;0;1;10;14778;0;1;10;14778;2.2685400000000002;1024.61;2.2685400000000002;1024.61;0;1;0;10;0;1;0;10;1.8221589181024125;7.330273628231331;1.8221589181024125;7.330273628231331;1;0;4;6;1;0;4;6;0.0;0.717948717948718;0.0;0.717948717948718;1;14788;0.13333333333333333;0.8;1;14788;0.13333333333333333;0.8;9.62181655093562e-15;0.2567562468317225;9.62181655093562e-15;0.2567562468317225;0
17;1mhw_A;1mhw_C;False;-1.0;173;41;15105;15104;True;True;1mhw_0_1_A_1.pdb;1mhw_0_1_C_1.pdb;73;40;1803;1mhw_0_1_A_1.pdb;1mhw_0_1_C_1.pdb;73;40;1803;23388;0;0;0;0;23388;0;0;0;23388;18.8029;87.9338;18.8029;87.9338;0;0;0;0;0;0;0;0;-1.0;-1.0;-1.0;-1.0;0;0;0;0;0;0;0;0;-1.0;-1.0;-1.0;-1.0;0;0;-1.0;-1.0;0;0;-1.0;-1.0;1.4967690303748188e-14;1.2217001244131318e-14;1.4967690303748188e-14;1.2217001244131318e-14;0
18;1lya_A;1lya_A;False;0.49;97;97;5507;5507;True;True;4oc6_0_1_A_2.pdb;4oc6_0_1_A_1.pdb;3;3;34;4oc6_0_1_A_2.pdb;4oc6_0_1_A_1.pdb;3;3;34;23991;0;0;0;4;23987;0;0;4;23987;8.07656;1033.16;8.07656;1033.16;0;0;0;4;0;0;0;4;4.999829233920887;8.875170348167305;4.999829233920887;8.875170348167305;0;0;0;4;0;0;0;4;-1.0;-1.0;-1.0;-1.0;0;23991;-1.0;-1.0;0;23991;-1.0;-1.0;1.0380437864893055;1.038052442754909;1.0380437864893055;1.038052442754909;0
19;2nl9_A;2nl9_A;False;-1.0;140;140;239;239;True;True;2nl9_0_3_A_4.pdb;2nl9_0_3_A_3.pdb;14;14;323;2nl9_0_3_A_4.pdb;2nl9_0_3_A_3.pdb;14;14;323;13128;0;0;0;0;13128;0;0;0;13128;18.5647;440.61;18.5647;440.61;0;0;0;0;0;0;0;0;-1.0;-1.0;-1.0;-1.0;0;0;0;0;0;0;0;0;-1.0;-1.0;-1.0;-1.0;0;0;-1.0;-1.0;0;0;-1.0;-1.0;6.56757243440006e-15;9.152029874362207e-15;6.56757243440006e-15;9.152029874362207e-15;0
20;2i32_A;2i32_A;False;-1.0;154;154;1199;1199;True;False;6f0h_0_1_A_3.pdb;6f0h_0_1_C_1.pdb;7;6;150;-;-;0;0;0;22841;0;0;0;4;22837;0;0;0;0;7.62435;1018.12;-1.0;-1.0;0;0;0;4;0;0;0;0;5.0134147301398535;6.7900204158674695;-1.0;-1.0;0;0;0;4;0;0;0;0;0.0;0.0;-1.0;-1.0;0;22841;0.0;0.0;0;0;-1.0;-1.0;0.5234425976008458;0.5386999019005774;-1.0;-1.0;0
21;1apy_A;1apy_A;False;0.68;161;161;13658;13658;True;True;1apy_0_1_A_1.pdb;1apy_0_1_C_1.pdb;26;26;627;1apy_0_1_A_1.pdb;1apy_0_1_C_1.pdb;26;26;627;59195;0;0;2;12;59181;0;2;12;59181;1.95354;1023.72;1.95354;1023.72;0;2;0;12;0;2;0;12;1.2351385073795804;7.888446058926876;1.2351385073795804;7.888446058926876;2;4;0;8;2;4;0;8;0.0;0.9426229508196722;0.0;0.9426229508196722;2;59193;0.20689655172413793;0.9440559440559441;2;59193;0.20689655172413793;0.9440559440559441;8.959159470408728e-15;0.5552333547471888;8.959159470408728e-15;0.5552333547471888;0
22;1rkc_B;1ydi_A;False;-1.0;26;256;21952;2809;True;True;1rkc_0_1_B_1.pdb;1rkc_0_1_A_1.pdb;23;41;536;1rkc_0_1_B_1.pdb;1rkc_0_1_A_1.pdb;23;41;536;80566;0;0;0;13;80553;0;0;13;80553;6.16295;164.025;6.16295;164.025;0;0;0;13;0;0;0;13;4.236835484850021;8.434131221996035;4.236835484850021;8.434131221996035;4;3;0;6;4;3;0;6;0.009009009009009009;0.6036036036036037;0.009009009009009009;0.6036036036036037;0;80566;0.24489795918367346;0.7551020408163265;0;80566;0.24489795918367346;0.7551020408163265;1.1004376944073087e-14;4.3492524729259765;1.1004376944073087e-14;4.3492524729259765;0
23;1lya_A;1lya_B;False;0.49;97;241;5507;5579;True;True;1lya_0_2_A_1.pdb;1lya_0_2_D_2.pdb;7;14;164;1lya_0_2_A_1.pdb;1lya_0_2_D_2.pdb;7;14;164;31685;0;0;0;2;31683;0;0;2;31683;7.551810000000001;1020.49;7.551810000000001;1020.49;0;0;0;2;0;0;0;2;6.900469293215707;6.900623865856456;6.900469293215707;6.900623865856456;0;0;0;2;0;0;0;2;0.0;0.0;0.0;0.0;0;31685;0.5;0.5;0;31685;0.5;0.5;1.0732545252732795e-14;0.6456143134214505;1.0732545252732795e-14;0.6456143134214505;0
24;1lya_B;1lya_B;False;0.49;241;241;5579;5579;True;True;1lya_0_2_B_1.pdb;1lya_0_2_D_2.pdb;12;13;227;1lya_0_2_B_1.pdb;1lya_0_2_D_2.pdb;12;13;227;30068;0;0;1;4;30063;0;1;4;30063;3.0602099999999997;1034.87;3.0602099999999997;1034.87;0;1;0;4;0;1;0;4;1.9090148009963097;9.62545398128919;1.9090148009963097;9.62545398128919;1;0;2;2;1;0;2;2;0.0;0.7380952380952381;0.0;0.7380952380952381;1;30067;0.10526315789473684;0.8947368421052632;1;30067;0.10526315789473684;0.8947368421052632;1.5103168972100584e-14;0.6456143134214499;1.5103168972100584e-14;0.6456143134214499;0
25;2nl9_A;2nl9_B;False;-1.0;140;23;239;2354;True;True;2nl9_0_2_A_4.pdb;2nl9_0_2_B_4.pdb;31;18;642;2nl9_0_2_A_4.pdb;2nl9_0_2_B_4.pdb;31;18;642;12755;0;0;0;3;12752;0;0;3;12752;9.85009;651.544;9.85009;651.544;0;0;0;3;0;0;0;3;4.77189360437013;4.771898562449343;4.77189360437013;4.771898562449343;0;0;0;3;0;0;0;3;0.08099688473520249;0.08099688473520249;0.08099688473520249;0.08099688473520249;0;12755;0.2389937106918239;0.2389937106918239;0;12755;0.2389937106918239;0.2389937106918239;6.56757243440006e-15;1.0430910229285759e-14;6.56757243440006e-15;1.0430910229285759e-14;0
26;2nl9_B;2nl9_B;False;-1.0;23;23;2354;2354;True;True;5vwz_0_1_B_1.pdb;5vwz_0_1_D_1.pdb;2;2;26;5vwz_0_1_B_1.pdb;5vwz_0_1_D_1.pdb;2;2;26;10721;0;0;0;2;10719;0;0;2;10719;8.82788;440.648;8.82788;440.648;0;0;0;0;0;0;0;0;;;;;0;0;0;2;0;0;0;2;-1.0;-1.0;-1.0;-1.0;0;10721;-1.0;-1.0;0;10721;-1.0;-1.0;0.9156905302643475;1.083903221859134;0.9156905302643475;1.083903221859134;0
27;2vgl_M;2vgl_M;False;-1.0;396;396;2310;2310;True;True;6qh5_0_1_N_1.pdb;6qh5_0_1_M_1.pdb;8;10;114;6qh5_0_1_N_1.pdb;6qh5_0_1_M_1.pdb;8;10;114;4550;0;0;0;0;4550;0;0;0;4550;42.2529;1001.5;42.2529;1001.5;0;0;0;0;0;0;0;0;-1.0;-1.0;-1.0;-1.0;0;0;0;0;0;0;0;0;-1.0;-1.0;-1.0;-1.0;0;0;-1.0;-1.0;0;0;-1.0;-1.0;0.4782963268760111;0.38534241225340404;0.4782963268760111;0.38534241225340404;0
28;1ydi_A;1ydi_A;False;0.73;256;256;2809;2809;True;True;2hsq_0_3_A_4.pdb;2hsq_0_3_A_3.pdb;20;20;497;2hsq_0_3_A_4.pdb;2hsq_0_3_A_3.pdb;20;20;497;368197;0;0;0;1;368196;0;0;1;368196;6.8857800000000005;1062.49;6.8857800000000005;1062.49;0;0;0;0;0;0;0;0;;;;;0;0;0;1;0;0;0;1;0.0;0.0;0.0;0.0;0;368197;0.11428571428571428;0.11428571428571428;0;368197;0.11428571428571428;0.11428571428571428;3.8243722204530046;3.824372220453006;3.8243722204530046;3.824372220453006;0
29;1rkc_A;1ydi_A;False;0.73;258;256;2809;2809;True;True;2hsq_0_3_A_4.pdb;2hsq_0_3_A_3.pdb;20;20;497;2hsq_0_3_A_4.pdb;2hsq_0_3_A_3.pdb;20;20;497;331418;0;0;0;6;331412;0;0;6;331412;6.88307;1063.58;6.88307;1063.58;0;0;2;4;0;0;2;4;3.3553292287379723;4.59061961543434;3.3553292287379723;4.59061961543434;0;0;0;6;0;0;0;6;0.0;0.06493506493506493;0.0;0.06493506493506493;0;331418;0.09090909090909091;0.14285714285714285;0;331418;0.09090909090909091;0.14285714285714285;1.461911709062037;3.824372220453002;1.461911709062037;3.824372220453002;0
30;1rkc_A;1rkc_A;False;0.73;258;258;2809;2809;True;True;2hsq_0_3_A_4.pdb;2hsq_0_3_A_3.pdb;20;20;497;2hsq_0_3_A_4.pdb;2hsq_0_3_A_3.pdb;20;20;497;312221;0;0;0;6;312215;0;0;6;312215;6.46997;1064.63;6.46997;1064.63;0;0;1;5;0;0;1;5;3.9021598702562885;8.956951933357303;3.9021598702562885;8.956951933357303;0;0;1;5;0;0;1;5;0.0;0.12987012987012986;0.0;0.12987012987012986;0;312221;0.14285714285714285;0.2571428571428571;0;312221;0.14285714285714285;0.2571428571428571;1.461911709062037;1.4619117090620375;1.461911709062037;1.4619117090620375;0
31;3d2u_B;3d2u_B;False;0.9;99;99;7;7;True;True;3low_0_1_A_1.pdb;3low_0_1_B_1.pdb;88;88;3372;3low_0_1_A_1.pdb;3low_0_1_B_1.pdb;88;88;3372;0;0;0;0;0;0;0;0;0;0;-1.0;-1.0;-1.0;-1.0;0;0;0;0;0;0;0;0;-1.0;-1.0;-1.0;-1.0;0;0;0;0;0;0;0;0;-1.0;-1.0;-1.0;-1.0;0;0;-1.0;-1.0;0;0;-1.0;-1.0;19.326676569157183;19.49014559688219;19.326676569157183;19.49014559688219;0
32;2pav_P;2pav_P;False;0.49;139;139;1183;1183;True;True;1awi_0_1_A_1.pdb;1awi_0_1_B_1.pdb;3;3;75;1awi_0_1_A_1.pdb;1awi_0_1_B_1.pdb;3;3;75;13881;0;0;0;1;13880;0;0;1;13880;8.525910000000001;986.89;8.525910000000001;986.89;0;0;0;0;0;0;0;0;;;;;0;0;0;1;0;0;0;1;0.0;0.0;0.0;0.0;0;13881;0.0;0.0;0;13881;0.0;0.0;0.7815353225884322;0.5885010746979796;0.7815353225884322;0.5885010746979796;0
33;2pjy_A;2pjy_A;False;0.75;112;112;896;896;True;True;2pjy_0_1_A_2.pdb;2pjy_0_1_A_1.pdb;32;32;522;2pjy_0_1_A_2.pdb;2pjy_0_1_A_1.pdb;32;32;522;105373;0;0;0;0;105373;0;0;0;105373;10.8485;1019.32;10.8485;1019.32;0;0;0;0;0;0;0;0;-1.0;-1.0;-1.0;-1.0;0;0;0;0;0;0;0;0;-1.0;-1.0;-1.0;-1.0;0;0;-1.0;-1.0;0;0;-1.0;-1.0;8.384415495501185e-15;4.716840709626608e-15;8.384415495501185e-15;4.716840709626608e-15;0
34;1lm5_A;1lm5_A;False;0.78;189;189;12507;12507;True;True;1lm5_0_1_A_1.pdb;1lm5_0_1_B_1.pdb;14;21;464;1lm5_0_1_A_1.pdb;1lm5_0_1_B_1.pdb;14;21;464;7099;0;0;0;0;7099;0;0;0;7099;12.8641;178.479;12.8641;178.479;0;0;0;0;0;0;0;0;-1.0;-1.0;-1.0;-1.0;0;0;0;0;0;0;0;0;-1.0;-1.0;-1.0;-1.0;0;0;-1.0;-1.0;0;0;-1.0;-1.0;4.613817987216615e-15;0.8063703806201482;4.613817987216615e-15;0.8063703806201482;0
35;2o8a_A;2o8a_A;False;-1.0;295;295;840;840;True;True;5zqv_0_1_A_1.pdb;5zqv_0_1_C_1.pdb;18;19;266;5zqv_0_1_A_1.pdb;5zqv_0_1_C_1.pdb;18;19;266;5422;0;0;1;6;5415;0;1;6;5415;4.23721;1035.34;4.23721;1035.34;0;1;2;4;0;1;2;4;1.4503450688899424;6.6397231808265;1.4503450688899424;6.6397231808265;0;0;0;7;0;0;0;7;0.0;0.0;0.0;0.0;0;5422;0.0;0.0;0;5422;0.0;0.0;0.4692398118291101;0.5136415774365822;0.4692398118291101;0.5136415774365822;0
36;1nci_A;1nci_A;False;-1.0;102;102;3172;3172;True;True;1nci_0_1_A_1.pdb;1nci_0_1_B_1.pdb;20;19;757;1nci_0_1_A_1.pdb;1nci_0_1_B_1.pdb;20;19;757;8888;0;0;0;0;8888;0;0;0;8888;12.3985;169.888;12.3985;169.888;0;0;0;0;0;0;0;0;-1.0;-1.0;-1.0;-1.0;0;0;0;0;0;0;0;0;-1.0;-1.0;-1.0;-1.0;0;0;-1.0;-1.0;0;0;-1.0;-1.0;1.0522674667466696e-14;0.9190777001008725;1.0522674667466696e-14;0.9190777001008725;0
37;1nci_A;1nci_B;False;-1.0;102;96;3172;3172;True;True;1nci_0_1_A_1.pdb;1nci_0_1_B_1.pdb;20;19;757;1nci_0_1_A_1.pdb;1nci_0_1_B_1.pdb;20;19;757;10510;0;0;0;0;10510;0;0;0;10510;12.2519;1011.8;12.2519;1011.8;0;0;0;0;0;0;0;0;-1.0;-1.0;-1.0;-1.0;0;0;0;0;0;0;0;0;-1.0;-1.0;-1.0;-1.0;0;0;-1.0;-1.0;0;0;-1.0;-1.0;1.0522674667466696e-14;1.0587049540456195e-14;1.0522674667466696e-14;1.0587049540456195e-14;0
38;2pav_A;2pav_A;False;-1.0;361;361;28;28;True;True;4jhd_0_1_A_1.pdb;4jhd_0_1_B_1.pdb;10;9;79;4jhd_0_1_A_1.pdb;4jhd_0_1_B_1.pdb;10;9;79;77251;0;0;0;4;77247;0;0;4;77247;9.09576;1048.21;9.09576;1048.21;0;0;0;0;0;0;0;0;;;;;0;0;0;4;0;0;0;4;0.0;0.0;0.0;0.0;0;77251;0.0;0.0;0;77251;0.0;0.0;1.2122421973854025;0.9936316405394459;1.2122421973854025;0.9936316405394459;0
39;1lm5_A;1lm5_B;False;0.78;189;193;12507;12507;True;True;1lm5_0_1_A_1.pdb;1lm5_0_1_B_1.pdb;14;21;464;1lm5_0_1_A_1.pdb;1lm5_0_1_B_1.pdb;14;21;464;9732;0;0;1;1;9730;0;1;1;9730;1.22975;84.1537;1.22975;84.1537;1;0;0;1;1;0;0;1;0.6537323713820973;4.945899882911676;0.6537323713820973;4.945899882911676;1;0;0;1;1;0;0;1;0.04741379310344827;0.8038793103448276;0.04741379310344827;0.8038793103448276;1;9731;0.35051546391752575;0.9240506329113924;1;9731;0.35051546391752575;0.9240506329113924;4.613817987216615e-15;1.8584302668651213e-14;4.613817987216615e-15;1.8584302668651213e-14;0
